    ars    |                           gen                           |                                    st_extent                                     
 071385001 | Asbach                                                  | BOX(7.314631696387227 50.57536253972018,7.48542961369418 50.71821864136498)
 097790115 | Asbach-Bäumenheim                                       | BOX(10.790232920114187 48.665407363006,10.854823428782828 48.70973169873558)
 096610000 | Aschaffenburg                                           | BOX(9.080084030185809 49.92061434778322,9.237795403532074 50.02130479351958)
 091830113 | Aschau a. Inn                                           | BOX(12.304898404273729 48.1694792723319,12.395542299330916 48.22378141447424)
 091870114 | Aschau i. Chiemgau                                      | BOX(12.241167476211897 47.67820151819836,12.38165960571805 47.80764463172212)
 055580004 | Ascheberg                                               | BOX(7.548678597608536 51.706401803846816,7.735802874341711 51.84366900702361)
 010570001 | Ascheberg (Holstein)                                    | BOX(10.279493569858714 54.11835489990086,10.376853264481323 54.179118761376444)
 150890015 | Aschersleben                                            | BOX(11.376098412235057 51.68473744769934,11.634725353809655 51.84996501028613)
 091840112 | Aschheim                                                | BOX(11.674086253494773 48.144853419910845,11.755599757083967 48.24003096234075)
 081180003 | Asperg                                                  | BOX(9.123675325357448 48.89125659382558,9.162192382835306 48.92228764250713)
 065320001 | Aßlar                                                   | BOX(8.389696588304371 50.573353974119065,8.4846348403124 50.66847784194176)
 091755112 | Aßling                                                  | BOX(11.921707191102962 47.954099346190795,12.100284852226878 48.06120164421913)
 059660004 | Attendorn                                               | BOX(7.79589382763183 51.072818000266906,8.003603966031926 51.17071724110728)
 096795644 | Aub                                                     | BOX(9.941108068229793 49.520976897654855,10.084552763408796 49.605556844185486)
 033605408 | Aue                                                     | BOX(10.438458402848156 52.76506372971863,10.841555870857716 52.94610607310022)
 145210035 | Aue-Bad Schlema                                         | BOX(12.629396993292815 50.561606751055784,12.740490089443645 50.64023826323788)
 160695051 | Auengrund                                               | BOX(10.769582364380993 50.43309521184719,10.909738763298712 50.504120542935844)
 092710113 | Auerbach                                                | BOX(13.054955628611475 48.774854246788415,13.137729398553352 48.837532619181836)
 093710113 | Auerbach i.d. OPf.                                      | BOX(11.54403107463009 49.62306120632252,11.669890559334005 49.76092706156717)
 145230020 | Auerbach/Vogtl.                                         | BOX(12.331550770438163 50.44102472449851,12.495310458508676 50.54361295916967)
 032570003 | Auetal                                                  | BOX(9.128597201351337 52.20563722473012,9.330636477056437 52.279681192329434)
 097610000 | Augsburg                                                | BOX(10.764189862002796 48.25823226373145,10.959205528005914 48.458653644586676)
 057660004 | Augustdorf                                              | BOX(8.68381028203414 51.860119309886684,8.82596908541282 51.93538515998206)
 145220020 | Augustusburg                                            | BOX(13.03957432342766 50.780599651337745,13.137987209231046 50.84004722902262)
 091780116 | Au i.d. Hallertau                                       | BOX(11.657138211505629 48.508816608373465,11.797642058502598 48.594740724995034)
 084360008 | Aulendorf                                               | BOX(9.567236096800347 47.90463788444287,9.72980751826757 47.98326722316562)
 160760092 | Auma-Weidatal                                           | BOX(11.866302812857674 50.65887863728501,12.036487501437366 50.74764120583722)
 095710114 | Aurach                                                  | BOX(10.315597325759473 49.205635715915385,10.467109912609324 49.278956825704476)
 095725512 | Aurachtal                                               | BOX(10.75444148584242 49.55158679285677,10.86554935652132 49.61237964671622)
 034520001 | Aurich                                                  | BOX(7.402098591939353 53.4053389181442,7.679247094665022 53.56172399280126)
 097759451 | Auwald                                                  | BOX(10.06072123611177 48.165198731893206,10.09458175734553 48.2726423223718)
 091840137 | Aying                                                   | BOX(11.707055169410518 47.917014349535364,11.852084666936 48.0033505223834)
 097720117 | Aystetten                                               | BOX(10.73257402664849 48.39214773436099,10.799993755944222 48.418296378587605)
 091860113 | Baar-Ebenhausen                                         | BOX(11.428958205429078 48.65985540688644,11.510982485784986 48.701700474497486)
 064320002 | Babenhausen                                             | BOX(8.864875422236924 49.91063458948557,9.026372075774074 50.00181433385901)
 097785758 | Babenhausen                                             | BOX(10.19061473249799 48.06411219814125,10.36358768663428 48.22965384612139)
 091870116 | Babensham                                               | BOX(12.215606666078894 48.0447542683451,12.38880150642914 48.1281426731375)
 081195001 | Backnang                                                | BOX(9.304430455261736 48.89204267106531,9.59623422157031 49.02504426717228)
 092730116 | Bad Abbach                                              | BOX(11.968659267789283 48.86101357371921,12.133772837551737 48.9638439297775)
 091870117 | Bad Aibling                                             | BOX(11.945792223366192 47.8193043075595,12.054384849402362 47.91244107342436)
 066350002 | Bad Arolsen                                             | BOX(8.918187886415414 51.26761782405906,9.12897536249974 51.44883713369706)
 120690020 | Bad Belzig                                              | BOX(12.434250931203316 52.06978020239202,12.722491235762616 52.27007710933739)
 034560001 | Bad Bentheim                                            | BOX(7.026305099585161 52.2411410940412,7.2078466186034 52.372766193951826)
 073375002 | Bad Bergzabern                                          | BOX(7.845714889581371 48.99931664740392,8.103204643769077 49.159553192313204)
 160710003 | Bad Berka                                               | BOX(11.171447555218165 50.82880511292992,11.331454458408153 50.93942125353466)
 059700004 | Bad Berleburg                                           | BOX(8.220931624399771 50.96010712628973,8.549084808247144 51.14946733286356)
 094720116 | Bad Berneck i. Fichtelgebirge                           | BOX(11.60120334254105 50.01726925095455,11.754182973606344 50.0873672538657)
