  ars  |                gen                |                                    st_extent                                     
 03255 | Holzminden                        | BOX(9.307762155094954 51.646018442921175,9.894895783019328 52.04412348717974)
 05762 | Höxter                            | BOX(8.905369613194658 51.44201500807489,9.461478369130122 51.91140879797263)
 16070 | Ilm-Kreis                         | BOX(10.743997560271303 50.546942300647174,11.224101167476766 50.91316285774283)
 09161 | Ingolstadt                        | BOX(11.255915943524565 48.68426673151182,11.503342526006099 48.82311898417521)
 16053 | Jena                              | BOX(11.49928781111761 50.8561893955842,11.672849811767591 50.9890572526045)
 15086 | Jerichower Land                   | BOX(11.68732978103301 52.000807045810426,12.330781528851407 52.57573632366726)
 07312 | Kaiserslautern                    | BOX(7.627168079165173 49.35861393722498,7.870739198063772 49.49511912379307)
 07335 | Kaiserslautern                    | BOX(7.392535277463843 49.30682668507734,8.002559454934927 49.59711285188813)
 08212 | Karlsruhe                         | BOX(8.277348961239374 48.94036053548241,8.542898298179283 49.091560971681545)
 08215 | Karlsruhe                         | BOX(8.258357846004357 48.81307301723859,8.894172322817532 49.29002663075172)
 06611 | Kassel                            | BOX(9.351519060509952 51.2619410177144,9.569934784303326 51.368675752951134)
 06633 | Kassel                            | BOX(9.09292505586727 51.17041814988394,9.759452384731903 51.657499206502514)
 09762 | Kaufbeuren                        | BOX(10.551227689508941 47.840915413642755,10.661123303849534 47.92179636087146)
 09273 | Kelheim                           | BOX(11.594916979839194 48.578745101789686,12.133772837551737 49.02330781782664)
 09763 | Kempten (Allgäu)                  | BOX(10.233105238092753 47.695135739571235,10.377875236693477 47.777876871085056)
 01002 | Kiel                              | BOX(10.032632255852294 54.25082830053103,10.218688828051548 54.43294433667908)
 09675 | Kitzingen                         | BOX(10.039984207402416 49.589878316991054,10.554961756869854 49.91591834124402)
 05154 | Kleve                             | BOX(5.945029569643067 51.35501977041604,6.534572296250714 51.905222047626424)
 07111 | Koblenz                           | BOX(7.484140149797342 50.28295899287014,7.695963727181427 50.41031908671939)
 05315 | Köln                              | BOX(6.772376037981896 50.82963003268687,7.163622663010853 51.08456558083163)
 08335 | Konstanz                          | BOX(8.61386858639943 47.65208755260006,9.21783774670656 47.942244162895335)
 05114 | Krefeld                           | BOX(6.477928448569561 51.286827857612046,6.706166072170269 51.40630715003612)
 09476 | Kronach                           | BOX(11.168541551424726 50.15926939386135,11.610432326930272 50.523239712932714)
 09477 | Kulmbach                          | BOX(11.2507922633845 49.9346282440176,11.689868578157954 50.268506211150005)
 07336 | Kusel                             | BOX(7.24643765979496 49.36341035963986,7.728178901474254 49.713989590377736)
 16065 | Kyffhäuserkreis                   | BOX(10.483550713956564 51.19930841330964,11.475225978321427 51.429791972818286)
 06532 | Lahn-Dill-Kreis                   | BOX(8.109687953547548 50.39576130225753,8.65080714257259 50.882798630565404)
 07313 | Landau in der Pfalz               | BOX(7.864105842062874 49.15511190174242,8.180822806522645 49.31637150693518)
 09181 | Landsberg am Lech                 | BOX(10.748334562574858 47.842305371863254,11.170240631993893 48.23667660894879)
 09261 | Landshut                          | BOX(12.019374661910664 48.50816975678975,12.284869630164152 48.59550911970854)
 09274 | Landshut                          | BOX(11.877926248349427 48.31634643272389,12.509220066122086 48.772628518331395)
 03457 | Leer                              | BOX(6.639255127627649 53.03367617010033,7.885607590866579 53.61768371842707)
 14713 | Leipzig                           | BOX(12.236778645616925 51.238153875303816,12.542606999586996 51.44806688271266)
 14729 | Leipzig                           | BOX(12.147653576050631 50.978794549983334,12.942616021037322 51.46865337590528)
 05316 | Leverkusen                        | BOX(6.898045049942199 51.0109172088542,7.115692703757037 51.09711845713891)
 09478 | Lichtenfels                       | BOX(10.874620792896433 49.989563023731,11.363619004742398 50.2186870020239)
 06533 | Limburg-Weilburg                  | BOX(7.964191681561412 50.264060828909464,8.467214990047546 50.59967883359249)
 09776 | Lindau (Bodensee)                 | BOX(9.602077153499122 47.52860878278317,10.077292399397699 47.686983016406245)
 05766 | Lippe                             | BOX(8.606338723138546 51.78904343220087,9.345218723197458 52.19459859364829)
 08336 | Lörrach                           | BOX(7.511871829787792 47.532360220558054,8.022338700802884 47.880310461087845)
 01003 | Lübeck                            | BOX(10.554769484598165 53.76810538408589,10.968375594132631 53.9940624518839)
 03354 | Lüchow-Dannenberg                 | BOX(10.750508844650605 52.84579634039095,11.598078494592333 53.25006714418374)
 08118 | Ludwigsburg                       | BOX(8.876031580731789 48.75412440934217,9.416235788728804 49.06459839766961)
