     ars      |                 gen                  |                                    st_extent                                     
 095740112112 | Altdorf b. Nürnberg                  | BOX(11.311262256407865 49.35335321276947,11.461458695562309 49.432946622054764)
 010585833003 | Alt Duvenstedt                       | BOX(9.554109852813518 54.33265438304486,9.683365845146948 54.386353654907076)
 130735362003 | Altefähr                             | BOX(13.113686681620631 54.30943815595773,13.209711629933931 54.36389422176432)
 093755337113 | Alteglofsheim                        | BOX(12.167982572001257 48.89594165138511,12.243935065128126 48.93564774977406)
 059620004004 | Altena                               | BOX(7.630525758147402 51.23903634599767,7.767944883253899 51.318195495930965)
 071315002003 | Altenahr                             | BOX(6.941004027334934 50.49780983363975,7.029874067035845 50.546191801336676)
 071335001003 | Altenbamberg                         | BOX(7.814100668679513 49.77015724216544,7.870832138025665 49.7944158926262)
 057740004004 | Altenbeken                           | BOX(8.874589186343062 51.6765139244725,9.000114873508625 51.80280790731412)
 146285201010 | Altenberg                            | BOX(13.65214146769237 50.7169238165126,13.902751591330015 50.83290080705192)
 160745011002 | Altenberga                           | BOX(11.483445277953283 50.81759679798938,11.590863853056684 50.85699335902608)
 055660004004 | Altenberge                           | BOX(7.401929561681269 51.99483251627361,7.556162346778491 52.08989447539363)
 160735051002 | Altenbeuthen                         | BOX(11.575988714736287 50.57973339074328,11.633629875875863 50.612507514253366)
 096765632111 | Altenbuch                            | BOX(9.354436385257397 49.79927921329626,9.478939718850132 49.88113782274166)
 160770001001 | Altenburg                            | BOX(12.37249817103397 50.922043192245305,12.495598778377829 51.034880294698105)
 071415003002 | Altendiez                            | BOX(7.933422163051971 50.35334191079029,7.996280238550637 50.389252359254144)
 093765341112 | Altendorf                            | BOX(12.230982102429776 49.389813050539225,12.343191431293954 49.44681739688391)
 094710111111 | Altendorf                            | BOX(10.969469797268808 49.78139904620216,11.049184215253735 49.81400961091226)
 073365010003 | Altenglan                            | BOX(7.416961168577071 49.52871618498684,7.509554822293908 49.57283148942769)
 130715163002 | Altenhagen                           | BOX(13.085090600369051 53.7356802798365,13.155898962342526 53.78758458278029)
